ALL SCHOOLS,ADDRESS,SCHOOL PD,original address,latitude,longitude,",",,,,,768928,103.8300549,1.4360948
BOON LAY GARDEN PRIMARY SCHOOL,20 BOON LAY DRIVE,649930,20 BOON LAY DRIVE,1.34287,103.712983,",",,,,,757714,103.8155937,1.45085035
BOON LAY SECONDARY SCHOOL,11 JURONG WEST STREET 65,648354,11 JURONG WEST STREET 65,1.342172,103.701945,",",,,,,579767,103.8483595,1.3536714
BOWEN SECONDARY SCHOOL,2 LORONG NAPIRI,547529,2 LORONG NAPIRI,1.370117,103.877649,",",,,,,297822,103.8353628,1.3252735
BROADRICK SECONDARY SCHOOL,61 Dakota Crescent,399935,61 Dakota Crescent,1.307522,103.886698,",",,,,,379481,103.8875929,1.3285371
BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVE 8,658962,50 BUKIT BATOK WEST AVE 8,1.348506,103.740867,",",,,,,349700,103.8754864,1.33554225
BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU,159050,10 LENGKOK BAHRU,1.285583,103.81344,",",,,,,529896,103.9522753,1.33982335
BUKIT PANJANG GOVT. HIGH SCHOOL,7 CHOA CHU KANG AVE 4,689809,7 CHOA CHU KANG AVE 4,1.38166,103.738424,",",,,,,466781,-120.9071269,40.121103
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,109 CASHEW ROAD,40.187001,-78.599797,",",,,,,529894,103.9494145,1.3386575
BUKIT TIMAH PRIMARY SCHOOL,111 Lorong Kismis,598112,111 Lorong Kismis,1.337385,103.766768,",",,,,,679301,103.7706158,1.3692467
BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21,659634,18 BUKIT BATOK STREET 21,1.34618,103.753863,",",,,,,424821,103.9108257,1.3064549
BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21,659633,16 BUKIT BATOK STREET 21,1.34572,103.752298,",",,,,,679287,103.768197,1.3664051
CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,21 ADMIRALTY DRIVE,41.529663,-71.302849,",",,,,,449150,103.9176891,1.3064781
CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE,757699,51 SEMBAWANG DRIVE,1.453794,103.814663,",",,,,,534793,103.899453,1.3735975
